,Stock,Sector,Buy_num,Buy_total,Sell_num,Sell_total,Ticker
0,Glacier Bancorp (GBCI),Financials,3,"$227,153",0,$0,GBCI
1,ServiceNow Inc. (NOW),Technology,0,$0,96,"$130,667,363",NOW
2,Swatch Group AG-D (UHR-D),Consumer Discretionary,0,$0,0,$0,UHR-D
3,Eldorado Resorts Inc. (ERI),Consumer Cyclical,0,$0,8,"$28,679,281",ERI
4,Carter Bank & Trust (CARE),Financials,0,$0,0,$0,CARE
5,Wyndham Hotels & Resorts Inc. (WH),Consumer Cyclical,2,"$639,770",0,$0,WH
6,Micron Technology Inc. (MU),Information Technology,0,$0,2,"$314,235",MU
7,ViewRay Inc. (VRAY),Health Care,0,$0,0,$0,VRAY
8,Celanese Corp. (CE),Materials,0,$0,0,$0,CE
9,Oshkosh Corp. (OSK),Industrials,0,$0,0,$0,OSK
10,S&W Seed Co. (SANW),Consumer Goods,17,"$477,389",0,$0,SANW
11,Energy Transfer LP (ET),Energy,38,"$17,840,170",1,"$797,581",ET
12,ACI Worldwide Inc. (ACIW),Technology,1,"$748,495",0,$0,ACIW
13,Pacific Drilling S.A. (PACD),Materials,1,"$45,982",4,"$987,560",PACD
14,Concho Resources Inc. (CXO),Materials,0,$0,2,"$1,202,283",CXO
15,Resolute Forest Products (RFP),Consumer Goods,0,$0,0,$0,RFP
16,FSB Bancorp Inc. (FSBC),Financials,0,$0,0,$0,FSBC
17,Big Lots Inc. (BIG),Consumer Discretionary,0,$0,4,"$76,447",BIG
18,Quotient Technology Inc. (QUOT),Technology,2,"$119,700",5,"$252,849",QUOT
19,Townsquare Media Inc. (TSQ),Services,0,$0,0,$0,TSQ
20,DuPont de Nemours Inc. (DD),Materials,0,$0,0,$0,DD
21,Ferrari NV (RACE),Consumer Goods,0,$0,0,$0,RACE
22,Coty Inc. (COTY),Consumer Goods,0,$0,0,$0,COTY
23,Banco Bradesco (BBD),Financials,0,$0,0,$0,BBD
24,Lamar Advertising Co. (LAMR),Services,1,"$990,590",0,$0,LAMR
25,Playa Hotels & Resorts N.V. (PLYA),Consumer Cyclical,0,$0,8,"$77,139",PLYA
26,Sanderson Farms (SAFM),Consumer Staples,0,$0,2,"$286,646",SAFM
27,Swire Pacific Ltd (0019.HK),Industrials,0,$0,0,$0,0019.HK
28,Quest Diagnostics (DGX),Health Care,0,$0,16,"$28,609,431",DGX
29,Integra LifeSciences Holdings (IART),Health Care,0,$0,8,"$9,047,179",IART
30,Eurofins Scientific SE (ERFSF),Health Care,0,$0,0,$0,ERFSF
31,Federal Signal (FSS),Industrials,2,"$114,542",3,"$307,876",FSS
32,Exela Technologies Inc. (XELT),Technology,0,$0,0,$0,XELT
33,Colfax Corp. (CFX),Industrial Goods,1,"$149,109",1,"$340,622",CFX
34,Flowserve Corp. (FLS),Industrials,1,"$15,190",0,$0,FLS
35,U.S. Well Services Inc. WTS (USWS.WS),Industrials,0,$0,0,$0,USWS.WS
36,National Oilwell Varco Inc. (NOV),Energy,4,"$171,780",0,$0,NOV
37,Ritchie Bros. Auctioneers Inc. (RBA),Services,0,$0,16,"$7,006,867",RBA
38,Akebia Therapeutics Inc. (AKBA),Health Care,0,$0,1,"$74,413",AKBA
39,Nutrien Ltd. (NTR),Materials,0,$0,0,$0,NTR
40,Super Micro Computer Inc. (SMCI),Technology,0,$0,6,"$603,441",SMCI
41,Hostess Brands Inc. WTS (TWNK.WS),Financials,0,$0,0,$0,TWNK.WS
42,Becton Dickinson (BDX),Health Care,0,$0,4,"$1,483,758",BDX
43,Signature Bank (SBNY),Financials,0,$0,0,$0,SBNY
44,Yamaha Motor Co. Ltd. (YAMHF),Consumer Cyclical,0,$0,0,$0,YAMHF
45,York Traditions Bank (YRKB),Financials,0,$0,0,$0,YRKB
46,Thermo Fisher Scientific (TMO),Health Care,0,$0,32,"$52,772,833",TMO
47,TechnipFMC plc (FTI),Energy,3,"$160,350",0,$0,FTI
48,Sea Ltd (SE),Technology,0,$0,0,$0,SE
49,Kennedy Wilson Holdings Inc. (KW),Financials,0,$0,0,$0,KW
50,Kulicke & Soffa Ind. (KLIC),Information Technology,1,"$98,275",0,$0,KLIC
51,Luckin Coffee Inc. (LK),Consumer Cyclical,0,$0,0,$0,LK
52,Ecolab Inc. (ECL),Materials,0,$0,25,"$25,957,646",ECL
53,Science Applications International Corp. (SAIC),Technology,3,"$1,117,294",0,$0,SAIC
54,Owl Rock Capital Corp. (ORCC),Financials,2,"$1,017,319",13,"$12,953,509",ORCC
55,Canadian Natl Railway Co. (CNI),Services,0,$0,0,$0,CNI
56,Shanghai Mechanical & Elect. Ind. (900925.SS),Industrials,0,$0,0,$0,900925.SS
57,Equitable Holdings Inc. (EQH),Financials,15,"$1,140,888",0,$0,EQH
58,Wabash National (WNC),Industrials,7,"$455,050",0,$0,WNC
59,SoftBank Group Corp. (SFTBF),Services,0,$0,0,$0,SFTBF
60,Nihon Parkerizing Co. (4095.T),Materials,0,$0,0,$0,4095.T
61,Tidewater Inc WTS (TDW.WS),Energy,0,$0,0,$0,TDW.WS
62,Eaton Vance Senior Floating-Rate Trust (EFR),Financials,0,$0,6,"$11,760,047",EFR
63,Facebook Inc. (FB),Technology,0,$0,22,"$15,254,640",FB
64,Dril-Quip Inc. (DRQ),Energy,0,$0,0,$0,DRQ
65,Nabors Industries Ltd. (NBR),Energy,0,$0,0,$0,NBR
66,Fairfax Financial Holdings Ltd. (FFH),Financials,0,$0,0,$0,FFH
67,Stericycle Inc. (SRCL),Industrials,0,$0,0,$0,SRCL
68,First Industrial Realty Trust Inc. (FR),Financials,0,$0,0,$0,FR
69,Cummins Inc. (CMI),Industrials,0,$0,0,$0,CMI
70,Zurich Insurance Group AG (ZFSVF),Financials,0,$0,0,$0,ZFSVF
71,Nektar Therapeutics (NKTR),Health Care,0,$0,10,"$825,141",NKTR
72,Automatic Data Processing Inc. (ADP),Information Technology,0,$0,1,"$35,058",ADP
73,Royal Dutch Shell PLC (RDS.A),Materials,0,$0,0,$0,RDS.A
74,Blue Bird Corp. (BLBD),Consumer Goods,0,$0,3,"$402,699",BLBD
75,Armstrong World Industries Inc. (AWI),Industrial Goods,0,$0,0,$0,AWI
76,Viasat Inc. (VSAT),Information Technology,0,$0,53,"$14,817,025",VSAT
77,Synaptics Inc. (SYNA),Information Technology,0,$0,16,"$3,478,128",SYNA
78,Petroleo Brasileiro (PBR),Materials,0,$0,0,$0,PBR
79,Kion Group AG (KNNGF),Industrials,0,$0,0,$0,KNNGF
80,CHEGG Inc. (CHGG),Services,0,$0,12,"$16,517,168",CHGG
81,UBS AG (UBS),Financials,0,$0,0,$0,UBS
82,Sensata Technologies Holding (ST),Consumer Goods,1,"$522,900",0,$0,ST
83,FTI Consulting Inc. (FCN),Industrials,0,$0,4,"$3,181,915",FCN
84,Crew Energy Inc. (CWEGF),Energy,0,$0,0,$0,CWEGF
85,Compagnie Financiere Richemont SA (CFRHF),Consumer Discretionary,0,$0,0,$0,CFRHF
86,Estee Lauder Cos. (EL),Consumer Staples,0,$0,12,"$12,932,381",EL
87,Dow Inc. (DOW),Materials,4,"$1,194,897",0,$0,DOW
88,CNOOC Ltd. (CEO),Materials,0,$0,0,$0,CEO
89,Aon Corp. (AON),Financials,2,"$13,650,000",4,"$761,099",AON
90,Adtalem Global Education (ATGE),Consumer Discretionary,0,$0,0,$0,ATGE
91,China Mobile Ltd. (CHL),Technology,0,$0,0,$0,CHL
92,Verizon Communications (VZ),Telecommunications Services,0,$0,2,"$613,429",VZ
93,Principal Financial Group (PFG),Financials,2,"$999,823",0,$0,PFG
94,Nuveen Floating Rate Income Fund (JFR),Financials,0,$0,0,$0,JFR
95,Suncor Energy Inc. (SU),Materials,0,$0,0,$0,SU
96,Avis Budget Group Inc. (CAR),Industrials,5,"$10,300,132",0,$0,CAR
97,Intercontinental Exchange Inc. (ICE),Financials,0,$0,21,"$34,391,538",ICE
98,First Bank (FRBA),Financials,0,$0,0,$0,FRBA
99,Wheaton Precious Metals Corp. (WPM),Materials,0,$0,0,$0,WPM
100,OneMain Holdings (OMF),Financials,6,"$1,172,017",0,$0,OMF
101,Despegar.com Corp. (DESP),Consumer Cyclical,0,$0,0,$0,DESP
102,Uber Technologies Inc. (UBER),Technology,0,$0,45,"$79,988,139",UBER
103,Darling Ingredients Inc. (DAR),Industrial Goods,5,"$197,600",0,$0,DAR
104,Corning Inc. (GLW),Information Technology,0,$0,1,"$42,038",GLW
105,Invesco Senior Loan ETF (BKLN),NA,0,$0,0,$0,BKLN
106,Telecom Argentina S.A. (TEO),Technology,0,$0,0,$0,TEO
107,ZIOPHARM Oncology (ZIOP),Health Care,0,$0,0,$0,ZIOP
108,Eaton Vance Floating-Rate Inc Trust (EFT),Financials,0,$0,0,$0,EFT
109,Aegon NV (AEG),Financials,0,$0,0,$0,AEG
110,Microchip Technology (MCHP),Information Technology,0,$0,8,"$3,196,373",MCHP
111,Dine Brands Global Inc. (DIN),Services,1,"$54,392",0,$0,DIN
112,LT Group Inc. (LTG-PS),Consumer Goods,0,$0,0,$0,LTG-PS
113,Autoliv Inc. (ALV),Consumer Goods,0,$0,1,"$45,932",ALV
114,LafargeHolcim Ltd. (HCMLF),Industrial Goods,0,$0,0,$0,HCMLF
115,Hilton Worldwide Holdings (HLT),Consumer Discretionary,0,$0,0,$0,HLT
116,Generac Holdings Inc. (GNRC),Industrial Goods,0,$0,14,"$5,348,203",GNRC
117,Zumiez Inc. (ZUMZ),Services,0,$0,0,$0,ZUMZ
118,GEA Group AG (G1A.DE),Industrials,0,$0,0,$0,G1A.DE
119,General Dynamics (GD),Industrials,0,$0,0,$0,GD
120,ABM Industries (ABM),Industrials,0,$0,1,"$105,210",ABM
121,ANAPLAN Inc. (PLAN),Technology,0,$0,9,"$12,254,437",PLAN
122,AmerisourceBergen Corp. (ABC),Health Care,2,"$201,554",12,"$8,432,699",ABC
123,Healthcare Services Group (HCSG),Industrials,0,$0,0,$0,HCSG
124,"e.l.f. Beauty, Inc. (ELF)",Consumer Goods,0,$0,8,"$2,946,390",ELF
125,Tyson Foods (TSN),Consumer Staples,0,$0,1,"$34,872",TSN
126,Asbury Automotive Group Inc. (ABG),Services,2,"$5,273,619",6,"$1,284,668",ABG
127,MetLife Inc. (MET),Financials,0,$0,0,$0,MET
128,Azul S.A.  (AZUL),Services,0,$0,0,$0,AZUL
129,Lands End Inc. (LE),Services,2,"$39,882",0,$0,LE
130,Mettler-Toledo International Inc. (MTD),Health Care,0,$0,75,"$52,474,144",MTD
131,IPG Photonics Corp. (IPGP),Technology,0,$0,44,"$16,833,209",IPGP
132,Genuine Parts (GPC),Consumer Discretionary,1,"$276,150",0,$0,GPC
133,Legg Mason (LM),Financials,0,$0,12,"$397,126,741",LM
134,CBRE Group (CBRE),Financials,2,"$100,691",1,"$3,151,565",CBRE
135,Henry Schein Inc. (HSIC),Health Care,0,$0,1,"$254,382",HSIC
136,Square Inc. (SQ),Technology,0,$0,17,"$5,081,390",SQ
137,Henkel KGAA (HENKY),Consumer Goods,0,$0,0,$0,HENKY
138,Strategic Education Inc. (STRA),Consumer Discretionary,0,$0,16,"$2,157,380",STRA
139,FLIR Systems (FLIR),Information Technology,0,$0,1,"$1,041,144",FLIR
140,Loral Space & Communications (LORL),Technology,0,$0,0,$0,LORL
141,Safran SA (SAFRY),Industrial Goods,0,$0,0,$0,SAFRY
142,Carnival Corp. (CCL),Consumer Discretionary,1,"$10,000,000",0,$0,CCL
143,Diageo plc (DEO),Consumer Goods,0,$0,0,$0,DEO
144,Goosehead Insurance Inc. (GSHD),Financials,0,$0,212,"$110,590,816",GSHD
145,General Mills (GIS),Consumer Staples,0,$0,11,"$10,837,738",GIS
146,Chokwang Paint Co. Ltd. (004910.KS),Materials,0,$0,0,$0,004910.KS
147,Medifast Inc. (MED),Services,11,"$94,889",6,"$1,010,804",MED
148,Sirius International Insurance Grp (SG),Financials,0,$0,0,$0,SG
149,iShares U.S. Real Estate ETF (IYR),Real Estate,0,$0,0,$0,IYR
150,Kadmon Holdings (KDMN),Health Care,4,"$197,063",0,$0,KDMN
151,MSC Industrial Direct (MSM),Industrials,0,$0,1,"$221,820",MSM
152,McKesson Corp. (MCK),Health Care,0,$0,21,"$3,474,914",MCK
153,Amphenol Corp. (APH),Information Technology,0,$0,9,"$23,941,791",APH
154,Vericity Inc. (VERY),Financials,0,$0,0,$0,VERY
155,Naspers Ltd (NPSNY),Technology,0,$0,0,$0,NPSNY
156,Allegiant Travel Company (ALGT),Services,2,"$139,312",7,"$20,996,332",ALGT
157,T. Rowe Price Group (TROW),Financials,0,$0,5,"$5,095,492",TROW
158,Granite Point Mortgage Trust Inc. (GPMT),Real Estate,0,$0,0,$0,GPMT
159,Constellation Brands (STZ),Consumer Staples,0,$0,0,$0,STZ
160,Marsh & McLennan (MMC),Financials,0,$0,5,"$32,310,644",MMC
161,Charter Communications (CHTR),Services,0,$0,7,"$65,456,896",CHTR
162,LICT Corp. (LICT),Services,0,$0,0,$0,LICT
163,GameStop Corp. (GME),Consumer Discretionary,2,"$135,410",1,"$184,325",GME
164,Mid-Southern Bancorp (MSVB),Financials,1,"$44,573",0,$0,MSVB
165,Micro Focus International plc (MFGP),Technology,0,$0,0,$0,MFGP
166,AGCO Corp. (AGCO),Industrials,0,$0,1,"$124,399",AGCO
167,Prosperity Bancshares Inc. (PB),Financials,16,"$4,535,788",0,$0,PB
168,Sportsman's Warehouse Hldgs (SPWH),Consumer Goods,0,$0,2,"$149,140",SPWH
169,Newell Brands Inc. (NWL),Consumer Discretionary,10,"$41,398,798",0,$0,NWL
170,Alphabet Inc. (GOOGL),Technology,0,$0,0,$0,GOOGL
171,Arcos Dorados Holdings Inc. (ARCO),Services,0,$0,0,$0,ARCO
172,Loews Corp. (L),Financials,0,$0,5,"$1,800",L
173,Infrastructure and Energy Alt. Inc. (IEA),Industrials,9,"$75,427",0,$0,IEA
174,Workiva Inc. (WK),Technology,0,$0,3,"$460,507",WK
175,Zedge Inc. (ZDGE),Technology,3,"$34,943",0,$0,ZDGE
176,Martin Marietta (MLM),Materials,2,"$347,620",1,"$1,180,272",MLM
177,Momo Inc. (MOMO),Technology,0,$0,0,$0,MOMO
178,"THL Credit, Inc. (TCRD)",Financials,8,"$360,325",1,"$90,882",TCRD
179,FFBW Inc. (FFBW),Financials,7,"$32,344",0,$0,FFBW
180,Assertio Therapeutics Inc. (ASRT),Health Care,0,$0,1,"$12,531",ASRT
181,Zillow Group Inc. (Z),Financials,0,$0,39,"$17,022,726",Z
182,NetEase.com Inc. (NTES),Technology,0,$0,0,$0,NTES
183,Macerich Co. (MAC),Financials,16,"$1,498,101",0,$0,MAC
184,Alaska Air Group (ALK),Industrials,2,"$29,878",2,"$65,235",ALK
185,Carbon Natural Gas Co. (CRBO),Materials,0,$0,0,$0,CRBO
186,Allison Transmission Holdings (ALSN),Industrial Goods,1,"$95,625",0,$0,ALSN
187,CVR Energy Inc. (CVI),Materials,0,$0,0,$0,CVI
188,Veritiv Corp. (VRTV),Consumer Goods,4,"$271,922",0,$0,VRTV
189,JPMorgan Chase & Co. (JPM),Financials,1,"$6,598,957",1,"$1,187,081",JPM
190,Devon Energy Corp. (DVN),Energy,2,"$230,500",1,"$17,205",DVN
191,Under Armour Inc. (UAA),Consumer Goods,10,"$43,184",6,"$24,528",UAA
192,Lifetime Brands Inc. (LCUT),Consumer Goods,0,$0,0,$0,LCUT
193,Swedish Match AB (SWMAF),Consumer Goods,0,$0,0,$0,SWMAF
194,Boeing Co. (BA),Industrials,0,$0,0,$0,BA
195,Advanced Drainage Systems (WMS),Consumer Goods,0,$0,8,"$12,302,457",WMS
196,Amplify Energy Corp. (AMPY),Energy,0,$0,1,"$46,561",AMPY
197,Unisys Corp. (UIS),Information Technology,0,$0,3,"$130,481",UIS
198,Henry (Jack) & Assoc. (JKHY),Information Technology,1,"$78,500",3,"$1,793,687",JKHY
199,eBay Inc. (EBAY),Information Technology,0,$0,10,"$7,351,348",EBAY
200,CommScope Holding Co. (COMM),Information Technology,4,"$588,243",0,$0,COMM
201,FreightCar America Inc. (RAIL),Services,0,$0,0,$0,RAIL
202,Take-Two Interactive Software (TTWO),Information Technology,0,$0,16,"$58,432,821",TTWO
203,Vista Outdoor Inc. (VSTO),Consumer Goods,1,"$248,675",0,$0,VSTO
204,Precigen Inc. (PGEN),Health Care,3,"$2,241,625",8,"$995,722",PGEN
205,Fox Corporation (FOXA),Services,0,$0,0,$0,FOXA
206,Omnicom Group (OMC),Consumer Discretionary,0,$0,0,$0,OMC
207,Baidu Inc. (BIDU),Technology,0,$0,0,$0,BIDU
208,Herbalife Nutrition Ltd. (HLF),Health Care,0,$0,1,"$976,500",HLF
209,Liberty TripAdvisor Hldgs (LTRPA),Consumer Goods,0,$0,0,$0,LTRPA
210,TriNet Group (TNET),Services,20,"$35,835,315",33,"$3,813,719",TNET
211,UMB Financial Corp. (UMBF),Financials,2,"$60,025",0,$0,UMBF
212,Teekay LNG Partners LP. (TGP),Services,0,$0,0,$0,TGP
213,GTY Technology Holdings Inc. (GTYH),Industrials,0,$0,0,$0,GTYH
214,Spirit AeroSystems Holdings Inc. (SPR),Industrial Goods,0,$0,0,$0,SPR
215,Unilever PLC (UL),Consumer Goods,0,$0,0,$0,UL
216,Univar Solutions Inc. (UNVR),Materials,4,"$3,726,051",0,$0,UNVR
217,AT&T Inc. (T),Telecommunications Services,2,"$1,256,045",0,$0,T
218,SeaWorld Entertainment (SEAS),Services,0,$0,2,"$104,528",SEAS
219,Thor Industries (THO),Consumer Discretionary,1,"$73,620",0,$0,THO
220,San Juan Basin Royalty Trust (SJT),Financials,0,$0,0,$0,SJT
221,CIGNA Corp. (CI),Health Care,0,$0,13,"$21,322,184",CI
222,Atara Biotherapeutics Inc. (ATRA),Health Care,0,$0,6,"$116,953",ATRA
223,Berkshire Hathaway CL A (BRK.A),Financials,6,"$2,088,022",0,$0,BRK.A
224,Alliance Data Systems (ADS),Information Technology,10,"$1,172,603",0,$0,ADS
225,Replay Acquisition Corp. Unit (RPLA/U),Industrials,0,$0,0,$0,RPLA/U
226,EOG Resources (EOG),Energy,0,$0,0,$0,EOG
227,CenturyLink Inc. (CTL),Technology,5,"$701,128",0,$0,CTL
228,Lennar Corp. (LEN),Consumer Discretionary,0,$0,0,$0,LEN
229,News Corp. (NWSA),Consumer Discretionary,0,$0,0,$0,NWSA
230,Fiesta Restaurant Group (FRGI),Services,0,$0,2,"$1,621",FRGI
231,Chewy Inc. (CHWY),Consumer Cyclical,0,$0,12,"$7,998,278",CHWY
232,Arbor Realty Trust Inc. (ABR),Financials,9,"$273,901",0,$0,ABR
233,Diebold Inc. (DBD),Information Technology,20,"$605,689",0,$0,DBD
234,Theravance Biopharma Inc. (TBPH),Health Care,0,$0,0,$0,TBPH
235,Warrior Met Coal LLC (HCC),Financials,0,$0,0,$0,HCC
236,Xerox Holdings Corp. (XRX),Information Technology,0,$0,0,$0,XRX
237,Merck & Co. (MRK),Health Care,0,$0,2,"$757,404",MRK
238,Varian Medical Systems (VAR),Health Care,0,$0,5,"$4,482,347",VAR
239,JetBlue Airways Corp. (JBLU),Industrials,1,"$4,185",4,"$40,161",JBLU
240,Alibaba Group Holdings (BABA),Technology,0,$0,0,$0,BABA
241,Nestle (NSRGY),Consumer Staples,0,$0,0,$0,NSRGY
242,Cemex (CX),Industrial Goods,0,$0,0,$0,CX
243,Fidelity National Information Services (FIS),Information Technology,0,$0,4,"$2,381,629",FIS
244,Truist Financial Corp. (TFC),Financials,2,"$581,036",2,"$472,431",TFC
245,PDL Community Bancorp (PDLB),Financials,0,$0,0,$0,PDLB
246,Schlumberger Ltd. (SLB),Energy,3,"$171,740",3,"$1,506,201",SLB
247,PotlatchDeltic Corp. (PCH),Financials,1,"$214,500",0,$0,PCH
248,Fiat Chrysler Automobiles NV (FCAU),Consumer Goods,0,$0,0,$0,FCAU
249,Heron Therapeutics Inc. (HRTX),Health Care,0,$0,1,"$16,176",HRTX
250,Knowles Corp. (KN),Technology,0,$0,0,$0,KN
251,Jernigan Capital Inc. (JCAP),Financials,6,"$62,695",6,"$1,085,667",JCAP
252,Kennametal Inc. (KMT),Industrials,0,$0,3,"$451,080",KMT
253,Bonanza Creek Energy (BCEI),Materials,0,$0,0,$0,BCEI
254,ITT Inc. (ITT),Industrials,0,$0,0,$0,ITT
255,AerCap Holdings N.V. (AER),Services,0,$0,0,$0,AER
256,Hanger Inc. (HNGR),Health Care,0,$0,0,$0,HNGR
257,Liberty Sirius XM Series A (LSXMA),Services,0,$0,2,"$50,243",LSXMA
258,Walt Disney Co. (DIS),Consumer Discretionary,0,$0,0,$0,DIS
259,Lincoln Electric (LECO),Industrials,0,$0,0,$0,LECO
260,Fifth Third Bancorp (FITB),Financials,2,"$1,094,519",0,$0,FITB
261,Medallia Inc. (MDLA),Technology,0,$0,16,"$19,225,380",MDLA
262,Illumina Inc. (ILMN),Health Care,0,$0,44,"$14,272,462",ILMN
263,Prudential Bancorp Inc. (PBIP),Financials,11,"$160,974",0,$0,PBIP
264,Immunomedics Inc. (IMMU),Health Care,1,"$49,875,000",0,$0,IMMU
265,Liberty Braves Group A (BATRA),Services,2,"$82,210",0,$0,BATRA
266,ICICI Bank Ltd. (IBN),Financials,0,$0,0,$0,IBN
267,Goldman Sachs Group (GS),Financials,0,$0,0,$0,GS
268,Rafael Holdings Inc. (RFL),Financials,0,$0,0,$0,RFL
269,Comerica Inc. (CMA),Financials,0,$0,0,$0,CMA
270,Discovery Communications Inc. (DISCA),Consumer Discretionary,0,$0,4,"$8,189,961",DISCA
271,Masimo Corp. (MASI),Health Care,0,$0,38,"$163,441,981",MASI
272,Cardinal Health Inc. (CAH),Health Care,0,$0,0,$0,CAH
273,UniFirst Corp. (UNF),Consumer Discretionary,0,$0,1,"$122,170",UNF
274,Evoqua Water Technologies Corp. (AQUA),Industrials,0,$0,2,"$339,593,400",AQUA
275,Home Bancshares Inc. (HOMB),Financials,1,"$278,598",0,$0,HOMB
276,Hertz Global Hldgs Inc. (HTZ),Services,3,"$84,832,977",10,"$39,939,932",HTZ
277,McDonald's Corp. (MCD),Consumer Discretionary,0,$0,0,$0,MCD
278,Atlas Corp. (ATCO),Financials,0,$0,0,$0,ATCO
279,Watsco Inc. (WSO),Industrials,0,$0,0,$0,WSO
280,Oracle Corp. (ORCL),Information Technology,2,"$1,424,162",10,"$122,394,575",ORCL
281,Stitch Fix Inc. (SFIX),Services,11,"$35,434,526",20,"$8,726,780",SFIX
282,Invesco Value Municipal Income Trust (IIM),Financials,0,$0,0,$0,IIM
283,Braskem S.A. (BAK),Materials,0,$0,0,$0,BAK
284,GAMCO Investors Inc. (GBL),Financials,0,$0,0,$0,GBL
285,American Airlines Group Inc. (AAL),Services,0,$0,0,$0,AAL
286,Coca-Cola FEMSA S A CV (KOF),Consumer Goods,0,$0,0,$0,KOF
287,Baker Hughes Co. (BKR),Industrials,0,$0,0,$0,BKR
288,Trilogy Metals Inc. (TMQ),Materials,3,"$19,150",0,$0,TMQ
289,Trinity Industries (TRN),Industrials,0,$0,0,$0,TRN
290,American Tower Corp. (AMT),Technology,0,$0,29,"$3,371,784",AMT
291,Colliers International Group Inc. (CIGI),Real Estate,0,$0,1,"$12,086,847",CIGI
292,Plains All American Pipeline (PAA),Materials,4,"$1,245,963",0,$0,PAA
293,SCOR SE (SZCRF),Financials,0,$0,0,$0,SZCRF
294,VEON Ltd. (VEON),Technology,0,$0,0,$0,VEON
295,Costco Co. (COST),Consumer Staples,0,$0,7,"$5,547,674",COST
296,Hanjaya Mandala Sampoerna (PHJMF),Consumer Goods,0,$0,0,$0,PHJMF
297,PNC Financial Services (PNC),Financials,9,"$5,101,131",0,$0,PNC
298,iRobot Corp. (IRBT),Technology,0,$0,6,"$2,752,775",IRBT
299,Precision BioSciences Inc. (DTIL),Health Care,0,$0,0,$0,DTIL
300,BAE Systems plc (BAESF),Industrials,0,$0,0,$0,BAESF
301,Citrix Systems (CTXS),Information Technology,0,$0,25,"$11,903,248",CTXS
302,NI Holdings Inc. (NODK),Financials,6,"$25,027",0,$0,NODK
303,AES Corp. (AES),Utilities,14,"$6,376,405",0,$0,AES
304,KT&G Corp. (033780.KS),Consumer Goods,0,$0,0,$0,033780.KS
305,Kinder Morgan (KMI),Energy,2,"$7,853,648",0,$0,KMI
306,McDermott International Inc. (MDR),Industrial Goods,0,$0,0,$0,MDR
307,Genie Energy Ltd. (GNE),Materials,0,$0,0,$0,GNE
308,Atlassian Corp. (TEAM),Technology,0,$0,0,$0,TEAM
309,Flex Ltd. (FLEX),Technology,0,$0,0,$0,FLEX
310,Covetrus Inc. (CVET),Health Care,0,$0,1,"$300,600",CVET
311,Domo Inc. (DOMO),Technology,0,$0,0,$0,DOMO
312,InterDigital Inc. (IDCC),Technology,0,$0,0,$0,IDCC
313,"Vista Oil & Gas, S.A.B. de C.V. (VIST)",Energy,0,$0,0,$0,VIST
314,VICI Properties Inc. (VICI),Financials,3,"$445,200",0,$0,VICI
315,Twitter Inc. (TWTR),Technology,0,$0,9,"$2,383,764",TWTR
316,Ardmore Shipping Corp. (ASC),Services,0,$0,0,$0,ASC
317,PayPal Holdings Inc. (PYPL),Financials,0,$0,23,"$18,644,532",PYPL
318,Peyto Exploration & Development Corp. (PEYUF),Energy,0,$0,0,$0,PEYUF
319,Dorman Products (DORM),Consumer Goods,1,"$99,943",0,$0,DORM
